year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1999,120230,52508,16,0,1489,0,67721,0,41561,19826,0,2774,0,0,0,0,0,0,0,78669,72009,41722,30286,13947,10809,4481,5542
2,2000,132630,59356,1910,0,3841,0,73274,0,42580,20722,0,718,0,0,0,0,0,0,0,90050,93956,64713,29243,13962,11397,0,11397
3,2001,131731,60726,11038,0,3964,0,71005,0,30468,10234,0,3041,0,0,0,0,0,0,0,101262,106289,71824,34466,14445,16789,0,16789
4,2002,104821,52608,0,4012,3307,0,52214,0,36729,27626,3382,18549,5695,0,474,0,0,0,8629,68092,98905,117249,-18344,-21647,-20130,-901,-19054
5,2003,84152,38687,0,514,2165,0,45464,0,69447,62410,6528,12202,43680,0,419,0,0,0,6619,14704,110133,160212,-50079,-53993,-55238,-1697,-53210
6,2004,111965,31513,0,23174,0,0,78366,0,61792,42300,1038,28313,12949,0,405,0,0,0,19088,50173,154636,137172,17464,12554,7899,0,7899
7,2005,101495,32237,8256,10196,2525,0,69258,0,30132,24457,2962,17253,4242,0,0,0,461,0,5214,71363,176258,154939,21320,15901,15322,4736,9754
8,2006,95665,32022,15500,113,2378,0,63634,9,23020,17315,4315,10572,24,0,0,0,465,0,5240,72645,110291,93733,16558,13727,13916,4956,8091
9,2007,96877,44405,13558,44,2444,0,52469,0,20698,13420,1043,2503,9875,0,0,0,0,0,6818,76179,167886,149212,18673,14260,14017,4171,9114
10,2008,116962,67717,32548,23114,2275,0,49224,0,21404,13696,1857,1537,10302,0,0,0,0,0,7181,95558,104114,85058,19056,15092,15319,0,15319
11,2009,109932,66501,51202,9358,872,0,41517,0,17273,7712,3604,4083,24,0,0,0,0,0,9028,0,80408,53069,27339,9787,10136,4060,5555
12,2010,109359,74335,64769,406,2685,0,35003,21,16721,7645,1710,3790,2146,0,0,0,0,0,0,92638,79937,50031,29906,10966,11730,4699,7031
13,2011,134488,86370,65861,14669,1474,0,48096,22,30251,16355,4319,2405,9631,0,0,0,0,0,10808,104237,81669,51103,30566,9528,11143,4547,6596
14,2012,148398,105758,91903,8406,1360,0,42619,21,37888,26607,4373,7164,15071,0,0,0,0,0,7977,110510,86551,65107,21444,17237,19237,5625,13612
