year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cpp,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,2002,16298,2084,10,237,NA,0,179,0,1563,33,127,576,145,0,0,0,0,14735,2730,NA,NA,194,165,0,253
2,2003,15183,1276,473,267,NA,0,149,87,440,35,9,141,0,0,0,0,0,14743,2960,NA,NA,686,197,0,240
3,2004,14744,666,80,126,NA,0,115,86,1092,38,6,848,0,0,0,0,0,13652,3276,NA,NA,310,-869,0,-876
4,2005,18589,1460,17,385,NA,0,109,92,4198,830,1592,1284,0,0,0,0,0,14391,4763,NA,NA,1699,2050,792,1212
5,2006,29235,8499,27,456,NA,0,78,0,15949,74,290,706,492,492,0,0,0,13286,3534,NA,NA,135,241,78,163
6,2007,46585,7747,34,703,NA,0,241,0,34271,46,296,896,529,529,0,0,0,12314,5010,NA,NA,-402,-87,1,-88
7,2008,61701,2651,461,886,NA,0,865,0,49784,52,939,5685,5343,5343,0,0,0,11918,7357,NA,NA,761,952,361,591
8,2009,63242,3617,1453,1363,NA,0,1243,0,46818,119,713,5986,4209,4209,0,0,0,16424,8158,NA,NA,748,1033,390,643
9,2010,93028,1644,761,3274,NA,0,1199,0,76510,271,7657,18959,10431,10431,0,0,0,16518,9047,NA,NA,1154,1410,598,812
10,2011,133847,1721,619,4611,NA,0,1381,0,115814,739,9763,21072,9959,8599,1360,0,0,18033,12174,NA,NA,1308,2222,1097,1126
11,2012,169921,4135,1108,4317,NA,0,1541,0,142643,868,12461,24398,15095,10772,4323,0,0,27278,16840,NA,NA,3350,4015,1327,2688
12,2013,208378,5631,0,8476,NA,0,1692,420,171803,128,10197,0,0,0,0,0,0,36575,20428,NA,NA,4286,0,1508,3746
13,2014,198238,2374,0,7172,NA,0,4565,407,157716,117,1796,0,0,0,0,0,0,40522,22724,NA,NA,5347,0,1702,4476
