No Consolidado,12/31/2012,12/31/2013
ACTIVO,,
Activo total,3115776,3736040
Activo Corriente,167122,5717
Tot ac co dist ac p/disp,167122,5717
Efectivo,166804,5480
Inversiones CP,0,0
Cuentas por cobrar CP,0,0
Otr Cuentas p Cobr CP,89,0
Otr cuent por cobrar CP,229,226
Inventario,0,0
Activos Biologicos CP,0,0
Cuen cobr impuestos corr,0,0
Gast pagados por antic,0,11
Otros Activos CP,0,0
Ac ncor p/disp mpv o pro,0,0
Ac nco p/dis cl man p/ve,0,0
Ac nc p/di cl dis a prop,0,0
Activo no Corriente,2948654,3730323
Inversiones Financieras,0,0
Invers al Metodo d/Parti,0,3730323
Creditos Comerciales LP,0,0
Otr cuentas p cobr LP,0,0
Doc por Cob Emp Relc LP,0,0
Activos Biologicos LP,0,0
Inversiones en Inmuebles,0,0
"Prop, planta y equi neto",0,0
Intangibles y agio,0,0
IR Partic Diferid Activo,0,0
Credito Mercantil,0,0
Otros Activos LP,2948654,0
,,
PASIVO,,
Pasivo + patrimonio neto,3115776,3736040
Pasivo total,343294,370942
Pasivo Corriente,4138,17104
Tot pa co dist pa m p/ve,4138,17104
Deudas Financieras CP,0,0
Provedores CP,0,0
Otros Pas no Comerc CP,331,492
Letras por Pagar CP,44,12393
Provisiones CP,3762,4220
Deu Fin LP Porcion CP,0,0
Prov cor p/bene a emplea,0,0
Otros CP,0,0
Pasivos mantenid p/venta,0,0
Pasivo no Corriente,339157,353838
Prestamos LP,339157,353838
Cuentas por Pagar LP,0,0
Otras Cuentas Pagar LP,0,0
Obligaciones LP,0,0
Imp Rend y Part Pasv Dif,0,0
Provisiones LP,0,0
Prov no co p/bene a empl,0,0
Otros LP,0,0
Ingresos Perc por Adelan,0,0
Patrim neto consolidado,2772482,3365098
Patrimonio neto,2772482,3365098
Capital social,2801921,2760440
Capital Adicional,-51099,553952
Part Patrim del Trabajo,0,0
Acciones propias en cart,0,0
Otras reservas,0,0
Utilidades retenidas,21660,50706
Resultados no Realizados,0,0
Int min(part no control),0,0
,,
EST RESULT,,
Meses,12,12
Origen de los datos,divulgado,divulgado
,,
Ingresos netos,66475,100756
Costo de Ventas,0,0
Resultado Bruto,66475,100756
Gastos con Ventas,0,0
Gastos administrativos,4445,3744
Ingr (perd) venta activo,0,0
Otros Ingresos,0,0
Otros Gastos,0,0
Result operativo EBIT,62031,97012
Ingresos Financieros,1168,640
Gastos Financieros,-31216,-31788
Diferencias de Cambio,20510,-32314
Dividendos,0,0
Ga(pe) dif vl lib/vl jus,0,0
Resultado antes impuest,52493,33551
Impuesto a las gananc,0,4184
Utild oper continuadas,52493,29366
Operac descontinuadas,0,0
Utilidad Consolidada,52493,29366
Int min(part no control),0,0
Ganancia/perdida neta,52493,29366
,,
FLUJO CAJA,,
Meses,12,12
Origen de los datos,divulgado,divulgado
,,
Recurs Generd por la Op,33012,62212
Cobranza a clientes,0,0
Comissiones y honorarios,0,0
Cobro de Regalias,0,100756
Inter Rend NIncl Act Inv,0,0
Reemb de imp a las ganan,0,-
Dividendos Cobrados,66475,0
Otros Cobr en Efectivo,0,0
Pagos a proveedores,0,-3590
Pago de Remuneraciones,0,0
Pago de Tributos,0,-
Inter Rend NIncl ActFin,-34563,-30547
Dividen (no inc atv fin),0,0
Pago de Regalias,0,-
Otros Pagos en Efectivo,1099,0
Recurs Generd en Inver,-1017460,-219599
Cob pr reemb de ant y pr,0,0
Ptmos Otorg a Empr Relac,414,0
Ingres Venta Valores,0,0
"Cobr cont fut,a te,op,pe",0,0
Vta Subs/Otr UNid Negoci,0,0
Ven neg conj neto ef des,0,0
Venta de Inver Perman,0,0
Venta de Inmueb Maq Equi,0,0
Venta de Activos Intangi,0,0
Imp proc ot act larg plz,0,0
Interes recibido,0,0
Dividendos Recibidos,0,0
Reem imp a la gana (inv),0,0
Otr Ingr Efec de Actvd,0,0
Ante de efec y pres a te,0,0
Prestamos Otorgados Vinc,0,0
Pagos por Comp Valores,0,0
"Pag cont fut,a te,opc,pe",0,0
Compra de Bienes de Uso,-1017874,-219599
Pg p/ad neg cj net ef ad,0,0
Util compra part no cont,0,0
Pagos p/ adq prop de inv,0,0
Compra de prop de invers,0,0
Desem p/Trab In/Maq/Equi,0,0
Adquisicion Bien Intang,0,0
Compra otr act largo plz,0,0
Impue a las gananc (inv),0,0
Otr Pag Efec de Activd,0,0
Recurs Generd por Finac,1150718,-1469
Emision de Obliga Financ,0,-
Ingr Prestamos CP y LP,0,-
Prest a entid relacionad,0,0
Emiss de Acc de Pago,1171671,-
Venta Accion(Ctas)Propia,0,-
Reem imp a la gana (fin),0,-
Otr Ingr Efec de Actvd,0,-
Amort Financiam Bursatil,0,-
Amort o Pago de Obl Fina,0,-
Pag de prest a ent relac,-20953,-42
Reemb pas por arrend fin,0,0
Adquis Acciones Prop,0,0
Pag p/ot part en el patr,0,0
Intereses y Provech Simi,0,0
Dividendos,0,0
Impue a las gananc (fin),0,-
Otr Pagos Efec de Activ,0,-
Inc neto(di) ef ant cam,166270,-158856
Efecto Variac Cambial,0,0
Incr neto en efec e inv,166270,-158856
Fondos al Inicio,534,164336
Fondos al Cierre,166804,5480
,,
Depreciacion y amortiz,-,-
Ebitda,-,-
,,
CANT ACCION,,
Total de acciones outst,102807,102807
,,
DIVERSOS,,
Fecha del Balance,12/31/2012,12/31/2013
Fecha da la Moneda,12/31/2012,12/31/2013
Fecha ult rectificacion,8/2/2013,3/11/2014
Formato del balance,Ind&ComPe,Ind&ComPe
Consolidado,No,No
