"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","V38","V39","V40","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",1992,407138,116490,16,1,80422,1,124227,0,84001,84001,1,29219,1,6,2,2,2,2,2,323137,246185,108598,137587,89056,185495,27108,149769
"2",1993,350084,107999,9,1,52868,1,97560,0,47980,47980,1,38064,1,3,2,2,2,2,2,302104,311746,154178,157567,116783,125161,39156,74655
"3",1994,489218,247941,19,1,55113,1,109497,0,48818,48818,1,43257,1,10,2,2,2,2,2,440401,421031,145598,275433,224784,215643,20663,176144
"4",1995,814323,232614,15,1,77414,1,225179,0,219811,114364,1,88794,1,9,1,1,1,1,1,594512,493343,140170,353173,295184,288670,70726,192974
"5",1996,895867,297712,18,1,117326,1,255555,0,186008,107727,1,58190,1,8,1,1,1,1,1,709859,546751,175022,371729,278581,281937,76989,182563
"6",1997,1003350,318493,6,1,98417,1,254994,0,145526,95938,15,51194,1,5,1,1,1,1,1,857824,625853,231875,393978,295042,300747,81822,195208
"7",1998,1074887,324439,20,1,125818,1,322530,0,148950,76576,1,41691,1,4,1,1,1,1,1,925938,564178,204593,359585,250565,208103,24591,164584
"8",1999,1315961,400123,8,1,123693,1,383287,0,252204,204688,1,158962,1,1,1,1,1,1,1,1063757,689749,240837,448912,334220,375095,94826,252783
"9",2000,1397881,435437,7,1,141403,1,379857,18308,164393,137420,1,98344,1,2,1,1,1,1,1,1233488,863692,281095,582598,458287,453723,124646,290957
"10",2001,1342194,369488,12,6,140025,1,356459,0,71614,71614,6,52435,4,2,2,2,2,2,2,1270580,740763,287603,453160,344259,307071,97524,181279
"11",2002,2034320,1297463,17,4,143636,1,346319,11960,200798,200798,2,185935,13,2,2,2,2,2,2,1833522,792334,329561,462773,354289,1105366,265485,754378
"12",2003,2109793,1346827,1,5,162695,9,337256,8688,91446,91446,7,71615,14,2,2,2,2,2,2,2018347,829304,276435,552868,419606,471695,110266,325917
"13",2004,2989174,2551713,1,2,172296,10,334982,5320,665485,665485,11,628059,11,1,2,2,2,2,2,2323690,1588636,438563,1150072,967031,1133237,315359,726470
"14",2005,2799030,2254252,1,9,181008,3,393871,90,227340,227340,5,205889,5,1,2,2,2,2,2,2571690,1249453,292137,957317,807489,919207,248120,599169
"15",2006,2545791,1911428,5,12,202628,5,392173,13876,189820,169490,10,6628,7,2,2,2,2,2,2,2355970,1370185,311836,1058349,902623,953078,232018,653809
"16",2007,3331262,2570392,10,14,200720,8,365610,13355,364754,336947,3,119459,12,2,2,2,2,2,2,2966507,1913484,333847,1579637,1470097,1429874,368423,954662
"17",2008,3858391,1728661,4,8,236411,4,336627,12284,358258,331169,8,107833,9,2,2,2,2,2,2,3500133,2329114,376169,1952945,1565324,1562607,467529,959562
"18",2009,4352962,1048526,14,13,248461,6,352429,16670,253258,223241,4,91752,8,2,2,2,2,2,2,4099704,1585235,340747,1244488,1176947,1200184,332826,770886
"19",2010,4952098,1527977,2,11,189108,7,389837,13762,418214,358425,9,150249,2,2,2,2,2,2,2,4533884,2269236,322059,1887154,1792342,1625954,467046,1023533
"20",2011,5093899,2067039,3,10,267578,2,510492,0,330046,245959,12,5919,3,2,3,2,2,2,2,4763853,2259521,413081,1846440,1595308,1272155,476133,796022
"21",2012,6199985,657102,11,7,285513,2,1002684,79113,958824,761365,14,28599,6,7,5,2,2,2,3,5241161,1677287,515444,1161843,923270,952400,274931,677470
"22",2013,7215463,1129181,13,3,338299,2,984873,97040,1036270,298771,13,50100,10,2,4,2,2,2,4,6179193,2136116,854444,1281672,1106459,1110384,434909,675475
