"year","","","","","","","","","","","","","","","","","","","","","","","",""
"1",2001,846712,395070,237083,0,NA,9,11304,0,762419,21040,0,0,0,12840,14712,0,84293,130630,NA,5493,10,11,0,6578
"2",2002,1089827,343062,209811,976,NA,10,15512,3922,927942,140511,0,0,0,4101,14764,0,161885,295609,NA,41828,4,9,5951,11047
"3",2003,1252891,385254,110098,0,NA,11,31801,0,1098358,131820,0,0,0,860,14261,0,154533,139038,NA,-8078,11,3,0,2379
"4",2004,1471362,284015,172574,0,NA,3,25474,0,1315742,138107,0,0,0,1036,12885,0,155620,101069,NA,-41798,5,5,365,1284
"5",2005,1748927,285934,119662,0,NA,4,23775,0,1593726,130472,0,0,0,857,13000,0,155201,81268,NA,-56026,8,8,0,4976
"6",2006,2015007,313445,163133,0,NA,5,22809,0,1827423,192535,0,0,0,0,11952,0,187584,124911,NA,-58909,3,4,0,34442
"7",2007,2106806,284402,138660,0,NA,6,21074,0,1898796,194196,0,0,0,0,10576,0,208010,131543,NA,-74665,7,7,0,30952
"8",2008,2207056,166073,105113,0,NA,7,18556,0,2013935,172028,0,0,0,32,10197,0,193121,120858,NA,-115486,2,2,0,7905
"9",2009,2478776,231229,68612,0,NA,8,18674,0,2201592,210700,0,0,0,130,9886,0,277184,155575,NA,-81148,9,10,0,36198
"10",2010,2714226,368610,211366,0,NA,1,17259,0,2461908,228357,0,0,0,439,9188,0,252318,158766,NA,-96777,1,1,0,34610
"11",2011,2848306,204155,41403,0,NA,2,16482,0,2552068,227778,0,0,0,130,8299,0,296237,224666,NA,-58239,1,1,0,71506
"12",2012,3131366,96255,14055,0,NA,2,16525,679,2820404,280307,0,0,0,0,8051,0,310962,219107,NA,-98825,6,6,0,31889
"13",2013,3617912,175097,47552,0,NA,1,17672,527,3302723,334511,0,0,0,996,8482,0,315189,224432,NA,-121832,1,1,0,6797
"14",2014,3959951,588556,58432,339201,NA,1,19033,1285,3584556,176358,0,0,0,0,8930,0,375395,75130,NA,-125922,1,1,0,24457
